ID,Tab,Field,Text,Translator Notes,Context
14,Providers,intro,"Create a JSON file in the app’s Data\Models directory to customise the model list for any provider type. Use the capabilities array to declare what a model supports.

Capability flags:
• ""vision"" — model accepts image attachments
• ""tools"" — model can use tools
• ""toolcallmode:native"" — force native function calling
• ""toolcallmode:text"" — force text-based tool calling
• ""toolcallmode:unsupported"" — disable tool prompts entirely

Tool output format flags (for models that embed tool calls in their text response):
• ""toolformat:hermes"" — Hermes/Qwen format: <tool_call>{""name"":""..."",""arguments"":{...}}</tool_call>
• ""toolformat:react"" — ReAct/LangChain format: {""action"":""..."",""action_input"":{...}}
• ""toolformat:native"" — OpenAI native tool_calls schema embedded in content
• ""toolformat:text"" — Aire’s default text format: {""tool"":""..."", ...}",Introductory text above a table.,Introductory text above a table.
15,Tools & Voice,title,AI Tools,Short heading for this help item. Keep concise.,Short heading for this help item.
15,Tools & Voice,content,"Some AI models can ask Aire to perform actions for them. Aire calls these actions tools.

Important: tools do not run silently. Aire shows you what the AI wants to do, and you approve or deny it.

Examples of what tools can do:
• Read or write files.
• Run shell commands.
• Open and read web pages.
• Inspect browser tabs.
• Take screenshots.
• Type, click, or move the mouse.
• Read or send email.

If you are new to this feature, the safest habit is simple: read the action request before approving it. Approve read-only actions when they make sense, and be more careful with actions that change files, send messages, or control the keyboard and mouse.",Main explanatory text. May contain bullet points (•) and line breaks.,Main explanatory text.
15,Tools & Voice,links[0].label,Review AI action approvals,Translate the label; keep action unchanged.,Hyperlink label (action: settings:auto-accept)
16,Tools & Voice,title,Auto-accept Profiles,Short heading for this help item. Keep concise.,Short heading for this help item.
16,Tools & Voice,content,"Auto-accept profiles let you define which actions Aire can approve automatically without interrupting you each time.

Built-in examples include Developer, News browser, and Conservative.

What to keep in mind:
• Profiles are a convenience, not a security replacement.
• Start conservatively and only auto-accept actions you really trust.
• File writes, input control, and external side effects are usually worth keeping manual.

If you are unsure, leave auto-accept restrictive and review actions one by one.",Main explanatory text. May contain bullet points (•) and line breaks.,Main explanatory text.
16,Tools & Voice,links[0].label,Review AI action approvals,Translate the label; keep action unchanged.,Hyperlink label (action: settings:auto-accept)
17,Connections,title,MCP Servers,Short heading for this help item. Keep concise.,Short heading for this help item.
17,Connections,content,"MCP servers are external helper services that give Aire more tools and data sources. MCP stands for Model Context Protocol.

In plain language, an MCP server is a bridge between Aire and another system, such as:
• your file system,
• GitHub,
• SQLite,
• web fetch tools,
• memory tools,
• Slack, Gmail, or Notion.

How Aire handles them:
• The Connections tab includes a curated catalog of common MCP servers.
• You can install, remove, enable, disable, and edit them from the app.
• Some servers need extra credentials or Node.js/npm on the machine.

Good beginner advice:
• Start with one simple server, such as Filesystem or Web Fetch.
• Read the description before installing it.
• Treat an MCP server like any other integration: useful, but something you should trust before enabling.",Main explanatory text. May contain bullet points (•) and line breaks.,Main explanatory text.
17,Connections,imageCaption,Connections settings with the MCP catalog and installed server list.,Caption for an image shown in the help window.,Caption for an image.
17,Connections,links[0].label,Open connections settings,Translate the label; keep action unchanged.,Hyperlink label (action: settings:connections)
18,Tools & Voice,title,Keyboard & Mouse Sessions,Short heading for this help item. Keep concise.,Short heading for this help item.
18,Tools & Voice,content,"Some tasks require the AI to control the keyboard and mouse. When a session is active:

• A banner appears at the bottom of the chat window showing the session is active.
• A floating ⏹ STOP SESSION button appears at the top-right of your screen — click it at any time to cancel immediately.
• Say “AIRE STOP” to cancel by voice.
• Click “End session” in the banner to cancel.

The AI will request approval for each individual action (key press, mouse click, etc.) before performing it.",Main explanatory text. May contain bullet points (•) and line breaks.,Main explanatory text.
18,Tools & Voice,links[0].label,Review AI action approvals,Translate the label; keep action unchanged.,Hyperlink label (action: settings:auto-accept)
19,Tools & Voice,title,Voice Input,Short heading for this help item. Keep concise.,Short heading for this help item.
19,Tools & Voice,content,"Click the 🎤 button to start voice recognition. Aire uses Windows built-in speech recognition — no API key or internet connection required.

• Speak normally. Your words appear in the input box as you talk.
• When you stop talking, a countdown (5 → 1) appears on the button. If you stay silent, the message sends automatically at 0.
• Start talking again at any time to reset the countdown.
• Click the button again (shows ⏹) to stop without sending.

Voice recognition accuracy depends on your Windows language and microphone quality. You can train Windows Speech Recognition via Windows Settings → Time & Language → Speech.",Main explanatory text. May contain bullet points (•) and line breaks.,Main explanatory text.
19,Tools & Voice,links[0].label,Open voice settings,Translate the label; keep action unchanged.,Hyperlink label (action: settings:voice)
20,Tools & Voice,title,Voice Commands,Short heading for this help item. Keep concise.,Short heading for this help item.
20,Tools & Voice,intro,Say “AIRE” followed by any of these words while the microphone is active:,Introductory text above a table.,Introductory text above a table.
20,Tools & Voice,cols[0],Command,Table column header.,Keep short and consistent.
20,Tools & Voice,cols[1],What it does,Table column header.,Keep short and consistent.
20,Tools & Voice,rows[0][0],AIRE SEND,Table cell content.,May contain placeholders.
20,Tools & Voice,rows[0][1],Send the current message immediately,Table cell content.,May contain placeholders.
20,Tools & Voice,rows[1][0],AIRE PAUSE,Table cell content.,May contain placeholders.
20,Tools & Voice,rows[1][1],Freeze the silence countdown,Table cell content.,May contain placeholders.
20,Tools & Voice,rows[2][0],AIRE RESUME,Table cell content.,May contain placeholders.
20,Tools & Voice,rows[2][1],Resume the countdown,Table cell content.,May contain placeholders.
20,Tools & Voice,rows[3][0],AIRE CLEAR,Table cell content.,May contain placeholders.
20,Tools & Voice,rows[3][1],Clear the input box,Table cell content.,May contain placeholders.
20,Tools & Voice,rows[4][0],AIRE UNDO,Table cell content.,May contain placeholders.
20,Tools & Voice,rows[4][1],Clear the input box,Table cell content.,May contain placeholders.
20,Tools & Voice,rows[5][0],AIRE CANCEL,Table cell content.,May contain placeholders.
20,Tools & Voice,rows[5][1],Stop listening without sending,Table cell content.,May contain placeholders.
20,Tools & Voice,rows[6][0],AIRE NEW,Table cell content.,May contain placeholders.
20,Tools & Voice,rows[6][1],Start a new conversation,Table cell content.,May contain placeholders.
20,Tools & Voice,rows[7][0],AIRE SETTINGS,Table cell content.,May contain placeholders.
20,Tools & Voice,rows[7][1],Open the Settings window,Table cell content.,May contain placeholders.
20,Tools & Voice,rows[8][0],AIRE OPEN/SHOW,Table cell content.,May contain placeholders.
20,Tools & Voice,rows[8][1],Show the main chat window,Table cell content.,May contain placeholders.
20,Tools & Voice,rows[9][0],AIRE CLOSE/HIDE,Table cell content.,May contain placeholders.
20,Tools & Voice,rows[9][1],Hide the main chat window,Table cell content.,May contain placeholders.
20,Tools & Voice,rows[10][0],AIRE YES/NO,Table cell content.,May contain placeholders.
20,Tools & Voice,rows[10][1],Approve or deny a pending AI action,Table cell content.,May contain placeholders.
20,Tools & Voice,rows[11][0],AIRE STOP,Table cell content.,May contain placeholders.
20,Tools & Voice,rows[11][1],Emergency stop — end any active keyboard/mouse session immediately,Table cell content.,May contain placeholders.
21,Tools & Voice,title,Voice Output,Short heading for this help item. Keep concise.,Short heading for this help item.
21,Tools & Voice,content,"Aire can read AI responses aloud using Windows text-to-speech. Enable this in Settings (⚙) → Voice Output.

• Choose to speak all responses, or only when you use the microphone.
• Select a voice and adjust the reading speed.
• Toggle voice output on/off quickly with the speaker icon near the microphone button.",Main explanatory text. May contain bullet points (•) and line breaks.,Main explanatory text.
21,Tools & Voice,links[0].label,Open voice settings,Translate the label; keep action unchanged.,Hyperlink label (action: settings:voice)
22,Appearance,title,Appearance,Short heading for this help item. Keep concise.,Short heading for this help item.
22,Appearance,content,"Open Settings (⚙) → Appearance to change the look of the app.

• Theme: switch between Dark and Light (Beige).
• Color tint: drag the slider to apply a hue tint across the entire UI. The left end (black) and right end (white) mean no tint — the slider is pure grayscale by default.
• Font size: hold Ctrl and scroll the mouse wheel over the chat or input area to increase or decrease the font size. The setting is saved automatically.

All appearance settings are saved and restored on next launch.",Main explanatory text. May contain bullet points (•) and line breaks.,Main explanatory text.
22,Appearance,links[0].label,Open appearance settings,Translate the label; keep action unchanged.,Hyperlink label (action: settings:appearance)
23,Local API,title,What is the Local API?,Short heading for this help item. Keep concise.,Short heading for this help item.
23,Local API,content,"The Local API is how another program on the same computer can talk to Aire.

For non-developers: you usually do not need this feature.

For developers and advanced users: this is the easiest way to connect your own script, tool, automation, or desktop app to Aire. A local program can:
• ask Aire to show or hide its main window,
• list conversations and read messages,
• send a message to the active conversation,
• switch provider or conversation,
• inspect pending tool approvals,
• and call Aire tools directly.

How it works:
• Aire listens on TCP port 51234.
• It only listens on 127.0.0.1, so other computers cannot reach it directly.
• Each request is one JSON object sent as one line.
• Each response is one JSON object returned as one line.

To use it, first open Connections settings and enable local API access.",Main explanatory text. May contain bullet points (•) and line breaks.,Main explanatory text.
23,Local API,imageCaption,"Connections settings where local API access, email accounts, and MCP servers are configured.",Caption for an image shown in the help window.,Caption for an image.
23,Local API,links[0].label,Open connections settings,Translate the label; keep action unchanged.,Hyperlink label (action: settings:connections)
24,Local API,title,Local API Quick Start,Short heading for this help item. Keep concise.,Short heading for this help item.
24,Local API,content,"To connect another app to Aire, use this checklist:

1. Open Connections settings.
2. Turn on local API access.
3. Copy the auth token.
4. From your app or script, open a TCP connection to 127.0.0.1:51234.
5. Send one JSON line with method, token, and optional parameters.
6. Read one JSON line back.
7. Close the connection.

A good first test is the ping method. If ping works, then try show_main_window, list_providers, and create_conversation.

Recommended first integration order:
• ping
• show_main_window
• list_providers
• create_conversation
• list_conversations
• get_messages
• send_message
• get_state
• wait_for_pending_approval if you want to cooperate with tool approvals
• execute_tool only after you are comfortable with the approval flow and security model",Main explanatory text. May contain bullet points (•) and line breaks.,Main explanatory text.
24,Local API,links[0].label,Open connections settings,Translate the label; keep action unchanged.,Hyperlink label (action: settings:connections)
25,Local API,title,Authentication,Short heading for this help item. Keep concise.,Short heading for this help item.
25,Local API,content,"Every Local API request must include the auth token.

Where to get it:
• Open Connections settings.
• Find the Local API section.
• Click Copy to copy the token.
• Paste that token into your app or script configuration.

What to know:
• If you click Regenerate, old integrations will stop working until they use the new token.
• The API must be enabled, not just configured.
• Any process on your computer that knows the token can control Aire.

Practical advice for developers:
• Keep the token in a local config file or environment variable, not hard-coded in source control.
• Treat it like a local secret.
• If you suspect it leaked, regenerate it.",Main explanatory text. May contain bullet points (•) and line breaks.,Main explanatory text.
25,Local API,links[0].label,Open connections settings,Translate the label; keep action unchanged.,Hyperlink label (action: settings:connections)
25,Local API,links[1].label,Review AI action approvals,Translate the label; keep action unchanged.,Hyperlink label (action: settings:auto-accept)
26,Local API,title,Protocol,Short heading for this help item. Keep concise.,Short heading for this help item.
26,Local API,content,"{ ""method"": ""ping"", ""token"": ""YOUR_TOKEN"" }
{ ""ok"": true, ""result"": { ""providerName"": ""Codex"", ""providerType"": ""Codex"", ""providerModel"": ""gpt-5.4-mini"", ""activeConversationId"": 12 } }

{ ""method"": ""create_conversation"", ""token"": ""YOUR_TOKEN"", ""parameters"": { ""title"": ""API test"" } }
{ ""ok"": true, ""result"": 73 }

{ ""method"": ""send_message"", ""token"": ""YOUR_TOKEN"", ""parameters"": { ""text"": ""Hello!"" } }
{ ""ok"": true, ""result"": true }",Main explanatory text. May contain bullet points (•) and line breaks.,Main explanatory text.
